,,,,"Optiplex Gx1",24756,,,,"CR. Puerto Barrios",,,"FECHA",
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","66WWB01","PIII 933GHz","128Mb","20Gb","Registro","Evelyn Rios",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","67WWB01","PIII 933GHz","128Mb","20Gb","CR. Retalhuleu",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","69K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,13/04/2005,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","6BWWB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Laboratorio 3",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","6CWWB01","PIII 933GHz","128Mb","20Gb",,,,,
571473768,05/10/2001,"DELL","DELL","Optiplex Gx 150","6DM6L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","6DWWB01","PIII 933GHz","128Mb","20Gb","Registro","Maria Cruz Santizo",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","6FL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","6GL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","6GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
,,"DELL","DELL","Dimension L700CX","6J08F01",,,,"Medicina","Dra. Colom",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","6J3YB01","PIII 933GHz","128Mb","20Gb","Contabilidad",,,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","6K3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Soporte",,31/03/2005,
623735611,28/01/2004,"DELL","DELL","Precision 360","6KW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5","Salul Gallo",,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","6L3YB01","PIII 933GHz","128Mb","20Gb",,,,,
867329245,02/07/2002,"DELL","DELL","Precision 340","6LN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","6MN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","6NY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","6TX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","6VX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","6WSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","6XX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","6YK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","6YSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","6ZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","7077L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","70W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","70Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","71W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","72L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867320046,28/06/2002,"DELL","DELL","Precision 340","74K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","759YM31","P4 2.4GHz","1G Mb","40 Gb","Medicina",,,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","76WWB01","PIII 933GHz","128Mb","20Gb",,,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","79WWB01","PIII 933GHz","128Mb","20Gb","Tesoreria","Martha de Rodriguez",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","7BK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
571473768,05/10/2001,"DELL","DELL","Optiplex Gx 150","7DM6L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867318891,28/06/2002,"DELL","DELL","Precision 340","7GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","7GZ1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","7J3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Teologia",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","7JY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","7K3YB01","PIII 933GHz","128Mb","20Gb","Tesoreria","Aura Cabrera",,,
878697995,16/07/2002,"DELL","DELL","Precision 530","7KCBN11","P4 2.0 GHz","512 Mb","36 Gb","Facultad de Ing. Sistemas Matutino","Ing. Rolando Torres",,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","7KM6L01","PIII 1.0GHz","128Mb","20Gb","Mineduc","Alejandra Rojas",,,
,,"DELL","DELL","Dimension XPS 8100","7KMSL01",,,,"Medicina","Ricardo San Jose",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","7KW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","7L3YB01","PIII 933GHz","128Mb","20Gb",,,,,
"B87011200",11/03/2004,"DELL","DELL","PowerEdge 400sc","7L85Z51","P4  3.2GHz","2 Gb","73Gb","Biblioteca","Servidor",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","7LW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","7LY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","7M3YB01","PIII 933GHz","128Mb","20Gb","Escuela de Comunicaciones",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","7MY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","7PQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
867322877,02/07/2002,"DELL","DELL","Precision 340","7TFK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","7WX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","7XSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","7Y67L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","7Z67L01","PIII 1.0GHz","128Mb","20Gb","Auditoria",,,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","7ZX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","8077L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
867311284,01/07/2002,"DELL","DELL","Precision 340","84FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","85FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","89K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","8BWWB01","PIII 933GHz","128Mb","20Gb","CR. Quetzaltenango",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","8CWWB01","PIII 933GHz","128Mb","20Gb","CED","Prof. Barrrios",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","8FL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","8GL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","8GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","8J3YB01","PIII 933GHz","128Mb","20Gb","Ceprod","Eleazar",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","8K3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","8KY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","8LN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","8M3YB01","PIII 933GHz","128Mb","20Gb","Escuela de Comunicaciones",,,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","8NQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","8NY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
163184188,22/11/2002,"DELL","DELL","Inspiron 2650","8PM6321","P4 1.7 GHz","32 Mb","30 Gb","Maestrias de Administración","Lic. Coronado",,,
,,,,"Inspiron 2650","8TF1F21",,,,"Medicina",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","8VK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Telecomunicaciones",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","8WK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango","Proxy",,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","8X67L01","PIII 1.0GHz","512 Mb","20Gb","Centro de Cómputo","Telecomunicaciones",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","8XK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos","Servidor de Pruebas",,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","8XX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","8Y67L01","PIII 1.0GHz","128Mb","20Gb","Medicina",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","8YK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","8Z67L01","PIII 1.0GHz","128Mb","20Gb","CR. Antigua",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","90W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","90Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","91L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","92L3M11","P4 2.0 GHz","512Mb","40Gb","Secretaria General",,,,
867323933,01/07/2002,"DELL","DELL","Precision 340","93L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","97WWB01","PIII 933GHz","128Mb","20Gb","CR. Zacapa",,,,
502105745,23/01/2001,"DELL","DELL","Latitude C600","98JWB01","PIII 750MHz","128Mb","10Gb","Auditoria",,,16/03/2005,
867321374,01/07/2002,"DELL","DELL","Precision 340","99K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","9077L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","9DM6L01","PIII 1.0GHz","128Mb","20Gb","Mineduc","Celene Figueroa",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","9FK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","9GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","9HY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
,,,,"Dimension L700CX","9J08F01",,,,"Medicina",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","9JY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","9K01D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
571473768,05/10/2001,"DELL","DELL","Optiplex Gx 150","9KM6L01","PIII 1.0GHz","128Mb","20Gb","Biblioteca",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","9LW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","9MY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
502104060,"01/24/2009","Dell","DELL","Optiplex Gx 150","9N3YB01","PIII 933GHz","128Mb","20Gb","Secretaria General",,,,
571473792,05/09/2001,"DELL","DELL","Latitude C600","9QS4L01","PIII 750MHz","128Mb","20Gb","Ya no Sirve","Walter Herrera",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","9VX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","9WX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","9X67L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
867316333,28/06/2002,"DELL","DELL","Precision 340","9XSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","9Y67L01","PIII 1.0GHz","128Mb","20Gb","CR. Antigua",,,,
867320046,01/07/2002,"DELL","DELL","Precision 340","9YJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","9YK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","9YV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","9YX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","9Z67L01","PIII 1.0GHz","128Mb","20Gb","Secretaria General",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","9ZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","B0W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","B1W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Desarrollo Web",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","B1Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula","Gustavo Reyes",,
867311284,01/07/2002,"DELL","DELL","Precision 340","B4FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","B4K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","B59YM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Odontologia",,,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","B6WWB01","PIII 933GHz","128Mb","20Gb","Contabilidad",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","B9K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","B9WWB01","PIII 933GHz","128Mb","20Gb","Desarrollo",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","BBWWB01","PIII 933GHz","128Mb","20Gb","Registro","Victor Aguilar",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","BCK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","BCWWB01","PIII 933GHz","128Mb","20Gb","Auditoria",,,,
,,"DELL","DELL","Dimension XPS T500","BDE37",,,,"Librería",,,,
867328254,01/07/2002,"DELL","DELL","Precision 340","BDL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE012","PIII 100MHz",128,"6.4 GB","Unidad de Pagos","Sulma Guzman",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE013","PIII 500MHz","128Mb","6.4Gb","Casa de Campo",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE014","PIII 500MHz","128Mb","6.4Gb","CR. Coban",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE015","PIII 500MHz","128Mb","6.4Gb","Contabilidad",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE020","PIII 500MHz","128Mb","6.4Gb","CR. Quetzaltenango",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE023","PIII 500MHz","128Mb","6.4Gb",,,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE030","PIII 500MHz","128Mb","6.4Gb","Facultad de Derecho","Ciencias Económicas",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE026","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE028","PIII 100MHz",128,"6.4 GB","Personal","Elizabeth Mazariegos",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02B","PIII 500MHz","128Mb","6.4Gb",,,,,
,,,,"Optiplex G1","BE02BL","PIII 500MHz","128Mb","6Gb","CR. Puerto Barrios",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02C","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE02F","PIII 500MHz","128Mb","6.4Gb","CR. Petén",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE021","PIII 500MHz","128Mb","6.4Gb","CR. Escuintla",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE02N","PIII 100MHz",128,"6.4 GB","Carné","Mayra Perez",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02Q","PIII 500MHz","128Mb","6.4Gb","Facultad de Psicologia",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02S","PIII 500MHz","128Mb","6.4Gb","Escuela de Idiomas",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02U","PIII 500MHz","128Mb","6.4Gb","CR. Chiquimula",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE02X","PIII 100MHz",128,"6.4 GB","Asuntos Académicos",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE02Y","PIII 500MHz","128Mb","6.4Gb","Casa de Campo",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE031","PIII 500MHz","128Mb","6.4Gb","CR. Quiche",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE03D","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE03E","PIII 100MHz","128Mb","6.4 GB","Registro",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE03F","PIII 500MHz","128Mb","6.4Gb","CR. Cuilapa",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE03G","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE03K","PIII 100MHz",128,"6.4 GB","Unidad de Pagos","Cesia de Medina",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE03M","PIII 500MHz","128Mb","6.4Gb","Contabilidad",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE03P","PIII 500MHz","128Mb","6.4Gb","CR. San Marcos",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE03R","PIII 500MHz","128Mb","6.4Gb","CR. Huhuetenango",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE04C","PIII 500MHz","128Mb","6.4Gb","CR. Zacapa",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE04H","PIII 500MHz","128Mb","6.4Gb","Facultad de Admon. Plan Sabado",,,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE04J","PIII 500MHz","128Mb","6.4Gb","CR. Coban",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE04L","PIII 100MHz","128Mb","6.4 GB","Registro",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE04P","PIII 500MHz","128Mb","6.4Gb","CR. Puerto Barrios",,,,
310882501,"12/15/1999","Dell","Dell","Optiplex Gx 110","BE04R","PIII 100MHz","128Mb","6.4 GB","Registro","Rosario",,,
310882501,"12/15/1999","DELL","DELL","Optiplex Gx 110","BE04S","PIII 500MHz","128Mb","6.4Gb","Desarrollo",,,,
