,,,,"Optiplex Gx1",24756,,,,"CR. Puerto Barrios",,,"FECHA",
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXA","PIII 500MHz","128Mb","6.4Gb","Asuntos Académicos",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXI","PIII 500MHz","128Mb","6.4Gb","CR. San Marcos",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTXU","PIII 500MHz","128Mb","6.4Gb","Registro","Dinora Avendaño",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTYE","PIII 500MHz","128Mb","6.4Gb","Ya no Sirve",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFTYI","PIII 500MHz","128Mb","6.4Gb","CR. Chimaltenango",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZA","PIII 500MHz","128Mb","6.4Gb","Unidad de Pagos","Margonia Lopez",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZE","PIII 500MHz","128Mb","6.4Gb","CR. Huhuetenango",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZI","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Edgar Gómez",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFTZU","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU00","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU01","PIII 500MHz","128Mb","6.4Gb","Facultad de Administración Vespertino",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU02","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU03","PIII 500MHz","128Mb","6.4Gb","Construcción","Marlen Mansilla",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU04","PIII 500MHz","128Mb","6.4Gb","IECA","CED",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU05","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Armando Garcia",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU06","PIII 500MHz","128Mb","6.4Gb","Registro","Silvia de Leon",,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU07","PIII 500MHz","128Mb","6.4Gb",,,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU08","PIII 500MHz","128Mb","6.4Gb",,,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU09","PIII 500MHz","128Mb","6.4Gb","Registro",,,,
337784318,"02/18/2000","DELL","DELL","Optiplex Gx 110","GFU0A","PIII 500MHz","128Mb","6.4Gb","Desarrollo",,,,
,,,,,"GFU0B",,,,"Contabilidad",,,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU0C","PIII 500MHz","128Mb","6.4Gb","Tesoreria","Juan Gabriel Maza",,,
337784318,"02/18/2000","Dell","Dell","Optiplex Gx 110","GFU0D","PIII 500MHz","128Mb","6.4Gb","Registro","Telma Romero",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","GFW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473768,05/10/2001,"Dell","DELL","Optiplex Gx 150","GGM6L01","PIII 1.0GHz","128Mb","20Gb","Desarrollo",,,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","GK3YB01","PIII 933GHz","128Mb","20Gb","Archivo",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GKW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","GLN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GLW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
,,"DELL","DELL","Optiplex Gx 100","GOTLI",,,,"Centros Regionales",,,,
,,"DELL","DELL","Optiplex Gx 100","GPU2K",,,,"Centros Regionales","Daly Reyes",,,
,,"DELL","DELL","Optiplex Gx 100","GUFUF",,,,"Facultad de Odontologia",,,,
,,,"Dell","Optiplex Gx 100","GUFUG",,,,"Vice Rectoria Administrativa","Melita Morales",,,
,,,,"Optiplex Gx 100","GUFUM",,,,"Medicina",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","GVK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
497513664,21/10/2003,"DELL","DELL","Poweredge 2600","GVXMN31","PIII 533MHz","4GB","73Gb  * 3","Desarrollo","Servidor Reda",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","GXX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","GY67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Información",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","GYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","GZ67L01","PIII 1.0GHz","128Mb","20Gb","Mineduc","Luis Paredes",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","GZJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","GZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","H0W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","H0Y1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","H1W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Telecomunicaciones",,,
877691063,14/07/2002,"DELL","DELL","Precision 340","H4Q1N11","P4 2.0 GHz","512 Mb","40 Gb",,,"VRVS",,
336083043,16/02/2000,"DELL","DELL","PowerEdge 4300","H50BU","PIII 600MHz","256Mb","9Gb * 3","Centro de Cómputo","Bodega",,,
336078332,16/02/2000,"DELL","DELL","Poweredge 2400","H5B1L","PIII 533MHz","128Mb","9.1Gb","Centro de Cómputo","Servidor Windows",,,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","H6WWB01","PIII 933GHz","128Mb","20Gb","Registro",,,,
497512492,13/10/2003,"DELL","DELL","Precision 360","H6XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTR","PII 400MHz",64,4.3,"Ceprod","Cristian Mejia",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTT","PII 400MHz",64,4.3,"Ceprod","Alex Orellana",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JTV","PII 400MHz","256Mb","40Gb","Facultad de Derecho","Mirta Dávila",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JTY","PII 400MHz","64Mb","4.3Gb","Servicios Administrativos","Ana Castro",,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JV0","PII 400MHz",64,4.3,"Asuntos Estudiantiles",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV1","PII 400MHz","64Mb","4.3Gb",,,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV3","PII 400MHz","64Mb","4.3Gb","Facultad de Derecho","Clinicas Jurídicas",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV4","PII 400MHz","64Mb","4.3Gb","Facultad de Odontologia",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JV5","PII 400MHz",64,4.3,"Ceprod",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV6","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV8","PII 400MHz","64Mb","4.3Gb","Facultad de Odontologia","Carla López",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JV9","PII 400MHz","64Mb","4.3Gb",,,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVB","PII 400MHz","256Mb","40Gb","Medicina",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVC","PII 400MHz","64Mb","4.3Gb","Facultad de Ing. Industrial",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVF","PII 400MHz","64Mb","4.3Gb","Facultad de Admon. Plan Sabado",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVH","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVJ","PII 400MHz","64Mb","4.3Gb","Facultad de Derecho","Clínicas",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVL","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVN","PII 400MHz","64Mb","4.3Gb","Campus ""B""","Enfermeria",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVR","PII 400MHz","64Mb","4.3Gb",,,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JVS","PII 400MHz",64,4.3,"Ceprod","Josue Orantes",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVV","PII 400MHz","64Mb","4.3Gb","Contabilidad",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVX","PII 400MHz","64Mb","4.3Gb","Casa de Campo",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JVZ","PII 400MHz","64Mb","4.3Gb","Ceprod",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JW1","PII 400MHz",64,4.3,"Ceprod",,,,
191704212,"11/11/19998","Dell","Dell","Optiplex G1","H8JW3","PII 400MHz",64,4.3,"Tesoreria",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JW5","PII 400MHz","64Mb","4.3Gb","Medicina",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JW7","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JW9","PII 400MHz","64Mb","4.3Gb","Campus ""B""","Criminologia",,,
191704212,"11/11/19998","DELL","DELL","Optiplex G1","H8JWB","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KKT","PII 400MHz","64Mb","4.3Gb","Ya no Sirve","Equipo en Donación",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KL2","PII 400MHz","64Mb","4.3Gb","Facultad de Admon. Plan Sabado",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KLJ","PII 400MHz","64Mb","4.3Gb","Ya no Sirve",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KM2","PII 400MHz","64Mb","4.3Gb","Facultad de Derecho","Ciencias Económicas",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KMC","PII 400MHz","64Mb","4.3Gb","IECA","Jannet Bincanel",,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KMJ","PII 400MHz","64 MB","4.3 GB","Ceprod","Lili de Monterroso",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KMR","PII 400MHz","64Mb","4.3Gb","Facultad de Ing. Sistemas Sabado","T-414",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KMY","PII 400MHz","64Mb","4.3Gb","Facultad de Teologia",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KN2","PII 400MHz","64Mb","4.3Gb",,,,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KNG","PII 400 MHz","64 MB","4.3 GB","Registro","Blanqui",,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KNW","PII 400 MHz","64 MB","4.3 GB","Ceprod","Jorge Rodas",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KP0","PII 400MHz","64Mb","4.3Gb","Escuela de Idiomas",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KP8","PII 400MHz","64Mb","4.3Gb","Facultad de Admon. Plan Sabado",,,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KPC","PII 400MHz","64 MB","4.3 GB","Asuntos Académicos",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KPH","PII 400MHz","64Mb","4.3Gb","Facultad de Administración Vespertino",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KPM","PII 400MHz","64Mb","4.3Gb","Facultad de Ing. Sistemas Vesp.",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KPP","PII 400MHz","64Mb","4.3Gb","Escuela de Humanidades",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KPS","PII 400MHz","64Mb","4.3Gb",,,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KPY","PII 400MHz","64Mb","4.3Gb","Escuela de Lingüística",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KQ3","PII 400MHz","64Mb","4.3Gb","Facultad de Ing. Industrial",,,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KQK","400 MHz","64 MB","4.3 GB","Secretaria General",,,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KQS","400 MHz","64 MB","4.3 GB","Tesoreria","Douglas Herrera",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KR2","PII 400MHz","64Mb","4.3Gb","Facultad de Carquitectura","Arq. Hernández",,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KRH","400 MHz","64 MB","4.3 GB","POES",,,,
,,,,,"H8KRM",,,,"Casa de Campo",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KRT","PII 400MHz","64Mb","4.3Gb","Facultad de Administración Vespertino",,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KRY","PII 400MHz","64Mb","4.3Gb",,,,,
191704659,11/11/1998,"Dell","Dell","Optiplex G1","H8KS2","400 MHz","64 MB","4.3 GB","Ceprod","Raul Soza",,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KT0","PII 400MHz","64Mb","4.3Gb",,,,,
191704659,11/11/1998,"DELL","DELL","Optiplex G1","H8KT7","PII 400MHz","64Mb","4.3Gb","Secretaria General",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","H9K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","HCK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","HFL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","HFW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
,,,,,"HGKT0",,,,"Contabilidad",,,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","HH3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","HHY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","HJ3YB01","PIII 933GHz","128Mb","20Gb","Biblioteca",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","HJY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","HK01D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","HKN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","HL3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Impresiones",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","HLY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","HMY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","HNQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","HNY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","HTK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","HTX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","HVSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","HWK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Servidor Bases de Datos",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","HWX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","HX67L01","PIII 1.0GHz","128Mb","20Gb","Rectoria",,,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","HY67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867320046,01/07/2002,"DELL","DELL","Precision 340","HYJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","HYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","HZ67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867320046,01/07/2002,"DELL","DELL","Precision 340","HZJ3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","HZX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","J077L01","PIII 1.0GHz","128Mb","20Gb","Auditoria","Diego Tzna",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","J0W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","J1W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
867323933,01/07/2002,"DELL","DELL","Precision 340","J2L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","J3K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
497512492,13/10/2003,"DELL","DELL","Precision 360","J49YM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Odontologia",,,,
867311284,01/07/2002,"DELL","DELL","Precision 340","J4FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
877691063,14/07/2002,"DELL","DELL","Precision 340","J4Q1N11","P4 2.0 GHz","512 Mb","40 Gb",,,,,
497512492,13/10/2003,"DELL","DELL","Precision 360","J6XXM31","P4 2.4GHz","1G Mb","40 Gb","Facultad de Ing. Industrial",,,,
867321374,01/07/2002,"DELL","DELL","Precision 340","J9K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","JDK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","JDL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867322877,02/07/2002,"DELL","DELL","Precision 340","JFK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","JH3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Admon. Plan Sabado","Lic. Magda Castillo",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","JJ3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Derecho","Clinicas",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","JK01D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","JK3YB01","PIII 933GHz","128Mb","20Gb","CR. Mazatenango",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","JKY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,13/04/2005,
867329245,02/07/2002,"DELL","DELL","Precision 340","JLN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","JLW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","JM3YB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Bodega",,,
502104060,"01/24/2003","DELL","DELL","Optiplex Gx 150","JN3YB01","PIII 933GHz","128Mb","20Gb","Facultad de Ing. Sistemas Matutino","Ing. Rolando Torres",,,
867153389,07/02/2002,"DELL","DELL","Latitude C610","JRQVL11","PIII 600MHz","256Mb","20Gb","Auditoria",,,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","JVX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","JWSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","JX67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","JXK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Soporte",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","JY67L01","PIII 1.0GHz","128Mb","20Gb","Facultad de Ing. Sistemas Matutino","Ing. Rolando Torres","UMG SERVER ",,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","JYK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Telecomunicaciones",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","JYV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2","Mail Admon",,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","JYX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","JZ67L01","PIII 1.0GHz","128Mb","20Gb","Desarrollo",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","JZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
,,,"Dell","Optiplex G1","U9KMD",,,,"Servicios Administrativos","Lic. Salazar",,,
,,"DELL","DELL","Optiplex G1","V9KMH",,,,"Facultad de Odontologia",,,,
,,,,"Optiplex Gx 270","3XGGR51",,,,"Medicina",,,,
